property_type,sector,price,bedRoom,bathroom,balcony,agePossession,built_up_area,servant room,store room,furnishing_type,luxury_category,floor_category
flat,sector 83,1.18,3,3,2,relatively new,1612.0,0,0,unfurnished,budget,high-rise
flat,sector 62,4.0,3,3,3,new,2353.0,1,0,semifurnished,budget,high-rise
flat,sector 85,1.1,2,2,3+,relatively new,1459.0,0,1,unfurnished,luxury,low-rise
flat,sector 91,0.89,2,2,3+,relatively new,1297.0,0,0,semifurnished,budget,medium-rise
flat,sector 7,0.48,3,2,1,new,889.0,0,0,unfurnished,budget,low-rise
flat,sector 102,1.4,3,3,3,relatively new,1500.0,1,0,semifurnished,semi-luxury,medium-rise
flat,sector 66,3.0,4,5,3+,relatively new,2100.11,1,0,semifurnished,budget,medium-rise
house,sector 25,4.31,5,4,3,old,1350.0,0,0,unfurnished,budget,low-rise
flat,sector 81,0.6,2,2,1,under construction,818.0,0,0,unfurnished,semi-luxury,low-rise
flat,sector 47,1.5,3,3,3,under construction,1409.0,0,0,unfurnished,semi-luxury,medium-rise
flat,sector 92,0.99,3,2,3,new,1661.0,0,0,unfurnished,budget,low-rise
flat,sector 69,1.51,3,3,2,relatively new,1320.0,0,0,furnished,luxury,low-rise
flat,sector 92,0.65,3,2,3,relatively new,1245.0,0,0,unfurnished,budget,medium-rise
flat,sector 79,0.8,2,2,3+,new,1177.0,0,0,unfurnished,budget,medium-rise
flat,sector 74,1.5,2,2,3,relatively new,1300.0,0,1,unfurnished,luxury,high-rise
flat,sector 103,1.05,2,2,3,relatively new,1365.0,0,0,semifurnished,semi-luxury,low-rise
flat,sector 63,0.88,1,1,2,under construction,804.0,0,0,unfurnished,semi-luxury,medium-rise
house,sector 7,2.25,3,3,2,old,1440.0,0,0,semifurnished,budget,low-rise
flat,sector 81,3.0,4,5,2,relatively new,2895.0,1,0,semifurnished,semi-luxury,medium-rise
flat,sector 81,2.3,3,4,3+,new,1902.0,1,0,furnished,luxury,medium-rise
flat,sector 95,0.33,2,2,1,new,697.0,0,0,semifurnished,semi-luxury,high-rise
flat,sector 109,1.75,3,4,3+,relatively new,1955.0,1,0,unfurnished,semi-luxury,medium-rise
flat,sector 109,1.65,3,3,3+,relatively new,1955.0,1,0,semifurnished,budget,high-rise
flat,sector 66,1.7,2,2,2,relatively new,1077.0,0,0,unfurnished,semi-luxury,medium-rise
flat,sector 39,2.0,3,3,3+,old,2400.0,0,0,unfurnished,semi-luxury,low-rise
flat,sector 111,3.65,4,5,3+,relatively old,2682.0,1,0,semifurnished,luxury,high-rise
flat,sector 81,2.25,3,3,3+,relatively new,1938.0,1,0,furnished,luxury,high-rise
house,sector 48,6.4,4,4,3,relatively old,2699.97,1,1,semifurnished,luxury,low-rise
house,sector 13,2.25,10,10,2,old,400.0,0,0,unfurnished,budget,low-rise
flat,sector 104,0.4,2,2,1,relatively new,517.0,0,0,unfurnished,budget,high-rise
house,sector 57,4.75,3,3,3,relatively old,1650.05,0,1,semifurnished,semi-luxury,low-rise
flat,sector 2,7.5,5,6,3+,relatively new,9091.0,1,0,unfurnished,budget,high-rise
flat,sector 53,6.5,4,5,3+,relatively new,3000.0,1,0,semifurnished,luxury,medium-rise
flat,sector 79,1.3,3,3,3,relatively new,1176.0,0,1,semifurnished,semi-luxury,high-rise
flat,sector 71,1.35,4,4,3,relatively old,2136.0,1,0,unfurnished,budget,medium-rise
flat,sector 37,1.4,3,3,3+,relatively new,1890.0,1,0,unfurnished,luxury,medium-rise
flat,sector 108,0.7,2,2,3,relatively new,1548.0,0,0,unfurnished,semi-luxury,low-rise
flat,sector 77,1.0,2,2,2,new,1489.0,0,0,unfurnished,semi-luxury,low-rise
flat,sector 82,0.94,2,2,3+,relatively new,1305.0,0,0,semifurnished,semi-luxury,medium-rise
house,sector 57,3.15,5,4,3+,relatively old,1547.99,0,1,semifurnished,semi-luxury,low-rise
