property_type,society,sector,price_in_cr,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,servant room,study room,pooja room,store room,others,furnishing_type,luxury_score
flat,vatika gurgaon,sector 83,1.18,6801.0,3,3,2,14.0,relatively new,1612.0,0,0,0,0,0,1,16.0
flat,emaar digihomes,sector 62,4.0,14870.99,3,3,3,18.0,new,2353.0,1,0,0,0,0,0,40.0
flat,ss the leaf,sector 85,1.1,6317.99,2,2,3+,3.0,relatively new,1459.0,0,0,0,1,0,1,117.0
flat,tarc maceo,sector 91,0.89,6338.99,2,2,3+,9.0,relatively new,1297.0,0,0,0,0,1,0,9.0
flat,rwa,sector 7,0.48,6000.0,3,2,1,1.0,new,889.0,0,0,0,0,0,1,12.0
flat,emaar gurgaon greens,sector 102,1.4,8483.97,3,3,3,4.0,relatively new,1500.0,1,0,0,0,0,0,72.0
flat,emaar mgf the palm drive,sector 66,3.0,14284.97,4,5,3+,10.0,relatively new,2100.11,1,0,0,0,0,0,24.0
house,independent,sector 25,4.31,31925.93,5,4,3,3.0,old,1350.0,0,0,0,0,0,1,21.0
flat,vipul lavanya,sector 81,0.6,6666.0,2,2,1,0.0,under construction,818.0,0,0,0,0,0,1,47.06
flat,godrej nature plus,sector 47,1.5,9676.98,3,3,3,6.0,under construction,1409.0,0,1,0,0,0,1,50.0
flat,signature global city 92,sector 92,0.99,6621.98,3,2,3,1.0,new,1661.0,0,0,0,0,1,1,18.0
flat,tulip violet,sector 69,1.51,9569.01,3,3,2,0.0,relatively new,1320.0,0,0,1,0,0,2,145.0
flat,raheja sampada,sector 92,0.65,4744.01,3,2,3,6.0,relatively new,1245.0,0,0,0,0,0,1,24.0
flat,supertech araville,sector 79,0.8,6177.99,2,2,3+,9.0,new,1177.0,0,0,0,0,1,1,27.0
flat,m3m skywalk,sector 74,1.5,12500.0,2,2,3,17.0,relatively new,1300.0,0,0,0,1,0,1,151.0
flat,indiabulls centrum park,sector 103,1.05,5861.01,2,2,3,1.0,relatively new,1365.0,0,0,0,0,0,0,51.0
flat,baani city center,sector 63,0.88,10945.0,1,1,2,4.0,under construction,804.0,0,0,0,0,0,1,57.42
house,independent,sector 7,2.25,15625.0,3,3,2,2.0,old,1440.0,0,0,0,0,0,0,20.0
flat,bestech park view grand spa,sector 81,3.0,9419.0,4,5,2,6.0,relatively new,2895.0,1,0,0,0,0,0,83.0
flat,dlf the ultima,sector 81,2.3,10994.0,3,4,3+,6.0,new,1902.0,1,0,0,0,0,2,149.0
flat,ramsons kshitij,sector 95,0.33,3911.02,2,2,1,14.0,new,697.0,0,0,0,0,1,0,47.0
flat,ats tourmaline,sector 109,1.75,8139.0,3,4,3+,9.0,relatively new,1955.0,1,0,0,0,0,1,84.0
flat,ats tourmaline,sector 109,1.65,7673.99,3,3,3+,16.0,relatively new,1955.0,1,0,0,0,0,0,24.0
flat,emaar mgf palm studios,sector 66,1.7,13502.03,2,2,2,7.0,relatively new,1077.0,0,0,0,0,1,1,69.0
flat,milan cghs 9,sector 39,2.0,8332.99,3,3,3+,0.0,old,2400.0,0,0,0,0,0,1,53.37
flat,puri diplomatic greens,sector 111,3.65,12372.0,4,5,3+,17.0,relatively old,2682.0,1,0,0,0,0,0,107.0
flat,dlf the ultima,sector 81,2.25,10552.98,3,3,3+,15.0,relatively new,1938.0,1,0,0,0,0,2,141.0
house,eldeco mansionz,sector 48,6.4,23703.97,4,4,3,3.0,relatively old,2699.97,1,0,0,1,0,0,118.0
house,independent,sector 13,2.25,6943.99,10,10,2,1.0,old,400.0,0,0,0,0,0,1,11.78
flat,zara aavaas,sector 104,0.4,7029.01,2,2,1,14.0,relatively new,517.0,0,0,0,0,0,1,36.0
house,independent,sector 57,4.75,28787.01,3,3,3,2.0,relatively old,1650.05,0,0,0,1,0,0,73.0
flat,krrish provence estate,sector 2,7.5,7500.0,5,6,3+,23.0,relatively new,9091.0,1,0,1,0,1,1,24.0
flat,parsvnath exotica,sector 53,6.5,19173.98,4,5,3+,10.0,relatively new,3000.0,1,1,1,0,0,0,151.0
flat,mapsko mount ville,sector 79,1.3,8724.01,3,3,3,19.0,relatively new,1176.0,0,0,0,1,0,0,88.0
flat,chd avenue,sector 71,1.35,5744.0,4,4,3,8.0,relatively old,2136.0,1,0,0,0,0,1,16.0
flat,corona optus,sector 37,1.4,7035.0,3,3,3+,4.0,relatively new,1890.0,1,0,0,0,0,1,127.0
flat,raheja vedaanta,sector 108,0.7,4521.99,2,2,3,1.0,relatively new,1548.0,0,0,0,0,0,1,57.1
flat,umang winter hills,sector 77,1.0,7500.02,2,2,2,3.0,new,1489.0,0,0,0,0,0,1,53.0
flat,vatika the seven lamps,sector 82,0.94,6533.0,2,2,3+,9.0,relatively new,1305.0,0,1,0,0,0,0,96.0
house,independent,sector 57,3.15,20348.97,5,4,3+,2.0,relatively old,1547.99,0,0,0,1,0,0,48.0
house,independent,sector 14,4.15,18444.03,5,4,2,2.0,old,2250.0,0,0,0,0,0,0,34.0
flat,bestech park view ananda,sector 81,1.1,6686.0,3,2,3+,5.0,relatively new,1314.0,0,0,0,0,0,1,125.0
house,not applicable,sector 3,0.4,9259.04,1,1,1,1.0,relatively old,432.0,0,0,0,0,0,1,23.14
flat,apartment,sector 92,0.75,4687.0,3,4,3,2.0,relatively old,1778.0,0,1,0,0,0,1,89.0
house,independent,sector 28,1.45,8000.0,3,2,1,1.0,relatively new,1800.0,0,0,0,0,0,1,70.49600000000001
flat,ss the leaf,sector 85,1.77,7350.01,3,4,3,6.0,relatively old,1450.0,1,0,0,0,0,0,115.0
flat,tata primanti,sector 72,3.5,11428.01,4,5,3+,16.0,relatively new,2625.0,1,0,0,0,1,1,33.0
flat,afnhb jalvayu vihar,sector 30,0.69,7272.04,2,2,1,3.0,old,900.0,0,0,0,0,0,1,39.0
flat,adani m2k oyster grande,sector 102,2.35,8468.01,3,3,3,14.0,relatively new,2362.0,1,1,0,0,0,0,142.0
flat,rail vihar cghs,sector 56,1.35,10383.98,3,2,2,1.0,old,1275.0,0,0,0,0,1,1,142.0
flat,la vida by tata housing,sector 113,1.5,11755.03,2,2,2,13.0,new,1418.0,0,0,0,0,0,1,69.0
flat,dlf the ultima,sector 81,2.3,10935.98,3,3,3+,19.0,relatively new,1617.0,1,1,1,0,1,2,24.0
flat,godrej aria,sector 79,0.96,13296.03,2,2,3,8.0,relatively new,1009.0,0,0,0,0,0,1,24.0
house,independent,sector 25,9.5,33404.01,9,9,3+,3.0,old,2844.0,0,0,0,0,1,1,53.0
flat,tulip violet,sector 69,1.36,8618.01,3,3,2,12.0,relatively new,1435.0,0,0,1,0,0,0,24.0
flat,godrej habitat,sector 3,1.35,12783.97,2,2,0,4.0,relatively new,1056.0,0,0,0,0,0,1,50.0
flat,raheja vedaanta,sector 108,1.25,5680.99,3,2,0,0.0,relatively new,2000.0,0,0,0,0,0,0,52.0
flat,raheja vedaanta,sector 108,0.95,5213.99,3,3,3,3.0,relatively new,1656.0,0,0,0,0,1,1,60.0
flat,ss the leaf,sector 85,1.05,6402.01,2,2,3,6.0,relatively new,1491.0,0,0,0,0,1,1,24.0
house,independent,sector 5,0.55,5000.0,2,1,0,1.0,old,1100.0,0,0,0,0,0,1,14.49
flat,emaar gurgaon greens,sector 102,1.35,8180.98,3,3,3,5.0,relatively new,1310.0,1,0,0,0,0,1,89.0
flat,m3m skycity,sector 65,3.0,16411.02,3,3,3,17.0,under construction,1828.04,0,0,0,0,0,1,76.0
flat,adani brahma samsara vilasa,sector 63,3.4,10000.0,3,3,3+,1.0,new,3091.0,0,0,0,0,0,1,79.0
flat,dlf new town heights,sector 90,1.65,5682.99,4,4,3+,7.0,relatively old,2479.0,0,0,0,0,0,1,91.0
flat,umang winter hills,sector 77,1.2,6585.99,3,3,3,14.0,relatively new,1822.0,0,0,0,0,0,1,48.0
flat,ats tourmaline,sector 109,1.4,8000.0,3,3,3+,5.0,relatively new,1466.0,0,0,0,0,0,1,21.0
house,ansal heights,sector 92,2.75,9792.99,4,4,3+,3.0,relatively new,5000.0,0,1,1,0,0,1,71.34
flat,housing board colony,sector 51,0.3,4629.63,1,1,0,0.0,relatively old,80.0,0,1,0,0,0,1,7.0
flat,greenopolis,sector 89,0.8,4820.0,2,3,3,8.0,under construction,1509.0,0,1,0,0,1,1,46.0
flat,tulip violet,sector 69,1.68,8358.0,4,4,2,7.0,relatively new,1827.0,0,0,0,0,0,1,106.0
flat,spaze privvy the address,sector 93,1.25,5700.99,4,4,3,16.0,relatively new,2105.0,0,0,0,0,0,1,33.21
house,independent,sector 14,6.46,18889.0,5,5,2,3.0,relatively old,3419.98,1,1,1,0,0,0,14.0
flat,ss the leaf,sector 85,2.05,7290.0,4,4,3+,4.0,relatively new,2500.0,1,0,0,0,0,0,24.0
flat,dlf new town heights,sector 86,1.55,6578.0,4,4,3+,12.0,relatively old,2030.0,1,0,1,0,0,0,98.0
flat,adani m2k oyster grande,sector 102,2.5,7816.99,4,5,3+,10.0,relatively new,2600.0,1,0,1,0,0,0,154.0
flat,ats tourmaline,sector 109,2.3,8897.0,3,4,3+,10.0,new,2350.0,1,0,0,0,1,1,50.0
house,independent,sector 5,3.75,11028.99,5,5,3+,3.0,old,3400.0,0,0,0,0,0,1,25.28
flat,m3m soulitude,sector 89,1.28,8826.98,3,3,2,4.0,under construction,1611.0,0,1,0,0,0,1,101.0
flat,parsvnath green ville,sector 48,1.42,8606.01,3,3,3,1.0,relatively old,1500.0,0,0,0,1,0,2,151.0
flat,paras dews,sector 106,1.13,6406.0,3,4,3+,18.0,relatively new,1186.0,1,1,0,0,0,1,24.0
house,independent,sector 3,0.61,11111.11,2,2,2,2.0,relatively old,61.0,0,0,0,0,1,1,6.0
flat,raheja sampada,sector 92,0.7,4453.01,3,3,0,7.0,relatively new,1572.0,0,0,0,0,0,1,53.722
flat,bestech park view ananda,sector 81,0.95,6984.99,2,2,2,14.0,relatively new,1260.0,0,0,0,0,0,0,145.0
flat,dlf regal gardens,sector 90,1.13,6646.98,3,3,3+,8.0,relatively new,1573.0,0,0,0,0,1,1,48.0
flat,paras quartier,sector 2,7.5,14018.01,4,4,3+,20.0,new,4864.0,1,0,1,0,1,0,24.0
flat,experion the heartsong,sector 108,1.3,8343.98,3,3,3+,7.0,relatively new,1654.0,0,1,0,0,0,1,127.0
flat,shapoorji pallonji joyville gurugram,sector 102,1.24,10205.01,2,2,2,10.0,relatively new,1105.0,0,0,0,0,0,1,107.0
