property_type,society,sector,price_in_cr,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,servant room,study room,pooja room,store room,others,furnishing_type,luxury_score,area_bedroom_ratio
flat,vatika gurgaon,sector 83,1.18,6801.0,1735.04,Super Built up area 1735(161.19 sq.m.)Carpet area: 1500 sq.ft. (139.35 sq.m.),3,3,2,14.0,north,relatively new,1735.0,,1500.0,0,0,0,0,0,1,16.0,578.3466666666667
flat,emaar digihomes,sector 62,4.0,14870.99,2689.8,Super Built up area 2588.79(240.51 sq.m.),3,3,3,18.0,north,new,2588.83,,,1,0,0,0,0,0,40.0,896.6
flat,ss the leaf,sector 85,1.1,6317.99,1741.06,Super Built up area 1741(161.74 sq.m.)Carpet area: 1218 sq.ft. (113.16 sq.m.),2,2,3+,3.0,south-east,relatively new,1741.0,,1218.0,0,0,0,1,0,1,117.0,870.53
flat,tarc maceo,sector 91,0.89,6338.99,1404.01,Super Built up area 1404(130.44 sq.m.)Carpet area: 1200 sq.ft. (111.48 sq.m.),2,2,3+,9.0,east,relatively new,1404.0,,1200.0,0,0,0,0,1,0,9.0,702.005
flat,rwa,sector 7,0.48,6000.0,800.0,Carpet area: 800 (74.32 sq.m.),3,2,1,1.0,north-east,new,,,800.0,0,0,0,0,0,1,12.0,266.6666666666667
flat,emaar gurgaon greens,sector 102,1.4,8483.97,1650.17,Super Built up area 1650(153.29 sq.m.),3,3,3,4.0,north,relatively new,1650.0,,,1,0,0,0,0,0,72.0,550.0566666666667
flat,emaar mgf the palm drive,sector 66,3.0,14284.97,2100.11,Super Built up area 2100(195.1 sq.m.),4,5,3+,10.0,east,relatively new,2100.0,,,1,0,0,0,0,0,24.0,525.0275
house,independent,sector 25,4.31,31925.93,1350.0,Plot area 150(125.42 sq.m.),5,4,3,3.0,North,old,,1350.0,,0,0,0,0,0,1,21.0,270.0
flat,vipul lavanya,sector 81,0.6,6666.0,900.09,Super Built up area 900(83.61 sq.m.),2,2,1,0.0,,under construction,900.0,,,0,0,0,0,0,1,,450.045
flat,godrej nature plus,sector 47,1.5,9676.98,1550.07,Super Built up area 1550(144 sq.m.),3,3,3,6.0,east,under construction,1550.0,,,0,1,0,0,0,1,50.0,516.6899999999999
flat,signature global city 92,sector 92,0.99,6621.98,1495.02,Carpet area: 1495 (138.89 sq.m.),3,2,3,1.0,east,new,,,1495.0,0,0,0,0,1,1,18.0,498.34
flat,tulip violet,sector 69,1.51,9569.01,1578.01,Super Built up area 1578(146.6 sq.m.)Carpet area: 1100 sq.ft. (102.19 sq.m.),3,3,2,0.0,west,relatively new,1578.0,,1100.0,0,0,1,0,0,2,145.0,526.0033333333333
flat,raheja sampada,sector 92,0.65,4744.01,1370.15,Super Built up area 1370(127.28 sq.m.),3,2,3,6.0,north-east,relatively new,1370.0,,,0,0,0,0,0,1,24.0,456.7166666666667
flat,supertech araville,sector 79,0.8,6177.99,1294.92,Super Built up area 1295(120.31 sq.m.),2,2,3+,9.0,,new,1295.0,,,0,0,0,0,1,1,27.0,647.46
flat,m3m skywalk,sector 74,1.5,12500.0,1200.0,Super Built up area 1400(130.06 sq.m.)Built Up area: 1300 sq.ft. (120.77 sq.m.)Carpet area: 1200 sq.ft. (111.48 sq.m.),2,2,3,17.0,north-east,relatively new,1400.0,1300.0,1200.0,0,0,0,1,0,1,151.0,600.0
flat,indiabulls centrum park,sector 103,1.05,5861.01,1791.5,Built Up area: 1365 (126.81 sq.m.)Carpet area: 900 sq.ft. (83.61 sq.m.),2,2,3,1.0,west,relatively new,,1365.0,900.0,0,0,0,0,0,0,51.0,895.75
flat,baani city center,sector 63,0.88,10945.0,804.02,Built Up area: 804 (74.69 sq.m.)Carpet area: 600 sq.ft. (55.74 sq.m.),1,1,2,4.0,,undefined,,804.0,600.0,0,0,0,0,0,1,,804.02
house,independent,sector 7,2.25,15625.0,1440.0,Plot area 160(133.78 sq.m.),3,3,2,2.0,North-West,old,,1440.0,,0,0,0,0,0,0,20.0,480.0
flat,bestech park view grand spa,sector 81,3.0,9419.0,3185.05,Super Built up area 3185(295.9 sq.m.),4,5,2,6.0,south,relatively new,3185.0,,,1,0,0,0,0,0,83.0,796.2625
flat,dlf the ultima,sector 81,2.3,10994.0,2092.05,Super Built up area 2092(194.35 sq.m.),3,4,3+,6.0,east,new,2092.0,,,1,0,0,0,0,2,149.0,697.35
flat,ramsons kshitij,sector 95,0.33,3911.02,843.77,Super Built up area 767(71.26 sq.m.),2,2,1,14.0,south,new,767.0,,,0,0,0,0,1,0,47.0,421.885
flat,ats tourmaline,sector 109,1.75,8139.0,2150.14,Super Built up area 2150(199.74 sq.m.),3,4,3+,9.0,north-east,relatively new,2150.0,,,1,0,0,0,0,1,84.0,716.7133333333333
